Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,Juventus,-,https://www.transfermarkt.co.uk/mattia-perin/leistungsdatendetails/spieler/110923,110923,Mattia Perin,Goalkeeper,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,506,IT1
2019-20,Juventus,1,https://www.transfermarkt.co.uk/wojciech-szczesny/leistungsdatendetails/spieler/44058,44058,Wojciech Szczesny,Goalkeeper,29.0,50.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.08,,506,IT1
2019-20,Juventus,31,https://www.transfermarkt.co.uk/carlo-pinsoglio/leistungsdatendetails/spieler/75411,75411,Carlo Pinsoglio,Goalkeeper,29.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0,00",,506,IT1
2019-20,Juventus,77,https://www.transfermarkt.co.uk/gianluigi-buffon/leistungsdatendetails/spieler/5023,5023,Gianluigi Buffon,Goalkeeper,41.0,52.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20,,506,IT1
2019-20,Juventus,4,https://www.transfermarkt.co.uk/matthijs-de-ligt/leistungsdatendetails/spieler/326031,326031,Matthijs de Ligt,Centre-Back,19.0,47.0,39.0,4.0,1.0,5.0,0.0,0.0,3.0,1.0,2.13,,506,IT1
2019-20,Juventus,28,https://www.transfermarkt.co.uk/merih-demiral/leistungsdatendetails/spieler/340879,340879,Merih Demiral,Centre-Back,21.0,33.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.25,,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/emre-can/leistungsdatendetails/spieler/119296,119296,Emre Can,Centre-Back,25.0,23.0,8.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,2.13,,506,IT1
2019-20,Juventus,13,https://www.transfermarkt.co.uk/danilo/leistungsdatendetails/spieler/145707,145707,Danilo,Centre-Back,27.0,44.0,32.0,2.0,0.0,2.0,1.0,0.0,8.0,8.0,2.06,,506,IT1
2019-20,Juventus,24,https://www.transfermarkt.co.uk/daniele-rugani/leistungsdatendetails/spieler/162959,162959,Daniele Rugani,Centre-Back,24.0,50.0,14.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.00,,506,IT1
2019-20,Juventus,12,https://www.transfermarkt.co.uk/alex-sandro/leistungsdatendetails/spieler/79960,79960,Alex Sandro,Left-Back,28.0,45.0,41.0,1.0,5.0,4.0,0.0,0.0,2.0,3.0,1.95,,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/pietro-beruatto/leistungsdatendetails/spieler/381370,381370,Pietro Beruatto,Left-Back,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/gianluca-frabotta/leistungsdatendetails/spieler/386755,386755,Gianluca Frabotta,Left-Back,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00",,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/wesley-gasolina/leistungsdatendetails/spieler/371967,371967,Wesley Gasolina,Right-Back,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,506,IT1
2019-20,Juventus,2,https://www.transfermarkt.co.uk/mattia-de-sciglio/leistungsdatendetails/spieler/88682,88682,Mattia De Sciglio,Right-Back,26.0,27.0,13.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.38,,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/luca-coccolo/leistungsdatendetails/spieler/344655,344655,Luca Coccolo,Centre-Back,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,506,IT1
2019-20,Juventus,3,https://www.transfermarkt.co.uk/giorgio-chiellini/leistungsdatendetails/spieler/29260,29260,Giorgio Chiellini,Centre-Back,34.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.50,,506,IT1
2019-20,Juventus,19,https://www.transfermarkt.co.uk/leonardo-bonucci/leistungsdatendetails/spieler/39983,39983,Leonardo Bonucci,Centre-Back,32.0,50.0,47.0,4.0,0.0,12.0,0.0,0.0,0.0,3.0,2.13,,506,IT1
2019-20,Juventus,30,https://www.transfermarkt.co.uk/rodrigo-bentancur/leistungsdatendetails/spieler/354362,354362,Rodrigo Bentancur,Defensive Midfield,22.0,47.0,43.0,1.0,8.0,11.0,1.0,0.0,9.0,9.0,2.00,,506,IT1
2019-20,Juventus,25,https://www.transfermarkt.co.uk/adrien-rabiot/leistungsdatendetails/spieler/182913,182913,Adrien Rabiot,Central Midfield,24.0,47.0,37.0,1.0,1.0,5.0,1.0,0.0,10.0,12.0,2.24,,506,IT1
2019-20,Juventus,5,https://www.transfermarkt.co.uk/miralem-pjanic/leistungsdatendetails/spieler/44162,44162,Miralem Pjanić,Central Midfield,29.0,48.0,43.0,3.0,8.0,11.0,0.0,0.0,2.0,16.0,2.12,,506,IT1
2019-20,Juventus,16,https://www.transfermarkt.co.uk/juan-cuadrado/leistungsdatendetails/spieler/91970,91970,Juan Cuadrado,Right Midfield,31.0,49.0,45.0,3.0,7.0,11.0,0.0,1.0,9.0,5.0,2.09,,506,IT1
2019-20,Juventus,8,https://www.transfermarkt.co.uk/aaron-ramsey/leistungsdatendetails/spieler/50057,50057,Aaron Ramsey,Central Midfield,28.0,43.0,35.0,4.0,1.0,3.0,0.0,0.0,21.0,13.0,2.11,,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/manolo-portanova/leistungsdatendetails/spieler/394304,394304,Manolo Portanova,Attacking Midfield,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/daouda-peeters/leistungsdatendetails/spieler/365451,365451,Daouda Peeters,Defensive Midfield,20.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0,00",,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/simone-muratore/leistungsdatendetails/spieler/297648,297648,Simone Muratore,Central Midfield,21.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.20,,506,IT1
2019-20,Juventus,6,https://www.transfermarkt.co.uk/sami-khedira/leistungsdatendetails/spieler/29401,29401,Sami Khedira,Central Midfield,32.0,20.0,18.0,0.0,1.0,4.0,0.0,0.0,5.0,11.0,2.56,,506,IT1
2019-20,Juventus,14,https://www.transfermarkt.co.uk/blaise-matuidi/leistungsdatendetails/spieler/33923,33923,Blaise Matuidi,Central Midfield,32.0,52.0,45.0,1.0,3.0,6.0,0.0,0.0,14.0,11.0,2.16,,506,IT1
2019-20,Juventus,7,https://www.transfermarkt.co.uk/cristiano-ronaldo/leistungsdatendetails/spieler/8198,8198,Cristiano Ronaldo,Centre-Forward,34.0,46.0,46.0,37.0,9.0,3.0,0.0,0.0,0.0,3.0,2.11,,506,IT1
2019-20,Juventus,10,https://www.transfermarkt.co.uk/paulo-dybala/leistungsdatendetails/spieler/206050,206050,Paulo Dybala,Second Striker,25.0,49.0,46.0,17.0,14.0,6.0,0.0,0.0,13.0,22.0,2.24,,506,IT1
2019-20,Juventus,33,https://www.transfermarkt.co.uk/federico-bernardeschi/leistungsdatendetails/spieler/197300,197300,Federico Bernardeschi,Right Winger,25.0,47.0,38.0,2.0,3.0,6.0,0.0,0.0,15.0,17.0,2.05,,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/marko-pjaca/leistungsdatendetails/spieler/205940,205940,Marko Pjaca,Left Winger,24.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.00,,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/luca-zanimacchia/leistungsdatendetails/spieler/407265,407265,Luca Zanimacchia,Right Winger,20.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0,00",,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/giacomo-vrioni/leistungsdatendetails/spieler/363178,363178,Giacomo Vrioni,Centre-Forward,20.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0,00",,506,IT1
2019-20,Juventus,11,https://www.transfermarkt.co.uk/douglas-costa/leistungsdatendetails/spieler/75615,75615,Douglas Costa,Right Winger,28.0,31.0,29.0,3.0,7.0,2.0,0.0,0.0,18.0,10.0,2.10,,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/kwang-song-han/leistungsdatendetails/spieler/402193,402193,Kwang-song Han,Centre-Forward,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/marco-olivieri/leistungsdatendetails/spieler/346562,346562,Marco Olivieri,Centre-Forward,20.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.50,,506,IT1
2019-20,Juventus,-,https://www.transfermarkt.co.uk/mario-mandzukic/leistungsdatendetails/spieler/34572,34572,Mario Mandžukić,Centre-Forward,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,506,IT1
2019-20,Juventus,21,https://www.transfermarkt.co.uk/gonzalo-higuain/leistungsdatendetails/spieler/39153,39153,Gonzalo Higuaín,Centre-Forward,31.0,46.0,44.0,11.0,9.0,3.0,0.0,0.0,16.0,16.0,2.14,,506,IT1
2019-20,Inter Milan,35,https://www.transfermarkt.co.uk/filip-stankovic/leistungsdatendetails/spieler/552223,552223,Filip Stanković,Goalkeeper,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46,IT1
2019-20,Inter Milan,27,https://www.transfermarkt.co.uk/daniele-padelli/leistungsdatendetails/spieler/27807,27807,Daniele Padelli,Goalkeeper,33.0,53.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,46,IT1
2019-20,Inter Milan,1,https://www.transfermarkt.co.uk/samir-handanovic/leistungsdatendetails/spieler/28021,28021,Samir Handanovič,Goalkeeper,34.0,52.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.06,,46,IT1
2019-20,Inter Milan,46,https://www.transfermarkt.co.uk/tommaso-berni/leistungsdatendetails/spieler/21752,21752,Tommaso Berni,Goalkeeper,36.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46,IT1
2019-20,Inter Milan,95,https://www.transfermarkt.co.uk/alessandro-bastoni/leistungsdatendetails/spieler/315853,315853,Alessandro Bastoni,Centre-Back,20.0,49.0,33.0,2.0,1.0,8.0,1.0,0.0,5.0,5.0,2.0,,46,IT1
2019-20,Inter Milan,-,https://www.transfermarkt.co.uk/federico-dimarco/leistungsdatendetails/spieler/198116,198116,Federico Dimarco,Left-Back,21.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.5,,46,IT1
2019-20,Inter Milan,37,https://www.transfermarkt.co.uk/milan-skriniar/leistungsdatendetails/spieler/204069,204069,Milan Škriniar,Centre-Back,24.0,49.0,42.0,0.0,2.0,10.0,1.0,0.0,3.0,3.0,2.02,,46,IT1
2019-20,Inter Milan,31,https://www.transfermarkt.co.uk/lorenzo-pirola/leistungsdatendetails/spieler/487834,487834,Lorenzo Pirola,Centre-Back,17.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,46,IT1
2019-20,Inter Milan,6,https://www.transfermarkt.co.uk/stefan-de-vrij/leistungsdatendetails/spieler/111196,111196,Stefan de Vrij,Centre-Back,27.0,51.0,46.0,4.0,5.0,7.0,0.0,0.0,2.0,3.0,1.89,,46,IT1
2019-20,Inter Milan,-,https://www.transfermarkt.co.uk/valentino-lazaro/leistungsdatendetails/spieler/186368,186368,Valentino Lazaro,Right-Back,23.0,26.0,11.0,0.0,2.0,2.0,0.0,0.0,7.0,3.0,2.09,,46,IT1
2019-20,Inter Milan,34,https://www.transfermarkt.co.uk/cristiano-biraghi/leistungsdatendetails/spieler/124555,124555,Cristiano Biraghi,Left-Back,26.0,51.0,37.0,3.0,7.0,4.0,0.0,0.0,13.0,14.0,2.19,,46,IT1
2019-20,Inter Milan,-,https://www.transfermarkt.co.uk/dalbert/leistungsdatendetails/spieler/312862,312862,Dalbert,Left-Back,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46,IT1
2019-20,Inter Milan,15,https://www.transfermarkt.co.uk/ashley-young/leistungsdatendetails/spieler/14086,14086,Ashley Young,Right-Back,33.0,26.0,25.0,4.0,5.0,2.0,0.0,0.0,6.0,8.0,2.04,,46,IT1
2019-20,Inter Milan,2,https://www.transfermarkt.co.uk/diego-godin/leistungsdatendetails/spieler/54928,54928,Diego Godín,Centre-Back,33.0,51.0,36.0,2.0,1.0,8.0,0.0,0.0,5.0,7.0,2.06,,46,IT1
2019-20,Inter Milan,13,https://www.transfermarkt.co.uk/andrea-ranocchia/leistungsdatendetails/spieler/44327,44327,Andrea Ranocchia,Centre-Back,31.0,47.0,12.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,2.5,,46,IT1
2019-20,Inter Milan,33,https://www.transfermarkt.co.uk/danilo-dambrosio/leistungsdatendetails/spieler/55769,55769,Danilo D'Ambrosio,Centre-Back,30.0,42.0,32.0,5.0,0.0,8.0,0.0,0.0,9.0,10.0,2.13,,46,IT1
2019-20,Inter Milan,23,https://www.transfermarkt.co.uk/nicolo-barella/leistungsdatendetails/spieler/255942,255942,Nicolò Barella,Central Midfield,22.0,42.0,41.0,4.0,8.0,15.0,0.0,0.0,6.0,7.0,2.15,,46,IT1
2019-20,Inter Milan,77,https://www.transfermarkt.co.uk/marcelo-brozovic/leistungsdatendetails/spieler/156617,156617,Marcelo Brozović,Defensive Midfield,26.0,47.0,46.0,3.0,8.0,10.0,0.0,0.0,3.0,8.0,1.98,,46,IT1
2019-20,Inter Milan,32,https://www.transfermarkt.co.uk/lucien-agoume/leistungsdatendetails/spieler/569384,569384,Lucien Agoumé,Defensive Midfield,17.0,28.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.67,,46,IT1
2019-20,Inter Milan,24,https://www.transfermarkt.co.uk/christian-eriksen/leistungsdatendetails/spieler/69633,69633,Christian Eriksen,Attacking Midfield,27.0,26.0,26.0,4.0,3.0,1.0,0.0,0.0,15.0,7.0,2.04,,46,IT1
2019-20,Inter Milan,8,https://www.transfermarkt.co.uk/matias-vecino/leistungsdatendetails/spieler/143812,143812,Matías Vecino,Central Midfield,27.0,32.0,25.0,3.0,1.0,5.0,0.0,0.0,6.0,6.0,2.04,,46,IT1
2019-20,Inter Milan,5,https://www.transfermarkt.co.uk/roberto-gagliardini/leistungsdatendetails/spieler/197471,197471,Roberto Gagliardini,Central Midfield,25.0,37.0,32.0,4.0,3.0,6.0,0.0,0.0,5.0,12.0,2.19,,46,IT1
2019-20,Inter Milan,12,https://www.transfermarkt.co.uk/stefano-sensi/leistungsdatendetails/spieler/216179,216179,Stefano Sensi,Central Midfield,23.0,25.0,19.0,3.0,4.0,3.0,0.0,0.0,7.0,9.0,1.84,,46,IT1
2019-20,Inter Milan,18,https://www.transfermarkt.co.uk/kwadwo-asamoah/leistungsdatendetails/spieler/63531,63531,Kwadwo Asamoah,Left Midfield,30.0,27.0,11.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.09,,46,IT1
2019-20,Inter Milan,20,https://www.transfermarkt.co.uk/borja-valero/leistungsdatendetails/spieler/40372,40372,Borja Valero,Central Midfield,34.0,51.0,25.0,3.0,0.0,5.0,0.0,0.0,11.0,6.0,2.2,,46,IT1
2019-20,Inter Milan,10,https://www.transfermarkt.co.uk/lautaro-martinez/leistungsdatendetails/spieler/406625,406625,Lautaro Martínez,Centre-Forward,21.0,50.0,49.0,21.0,8.0,11.0,0.0,1.0,6.0,27.0,1.96,,46,IT1
2019-20,Inter Milan,9,https://www.transfermarkt.co.uk/romelu-lukaku/leistungsdatendetails/spieler/96341,96341,Romelu Lukaku,Centre-Forward,26.0,51.0,51.0,34.0,6.0,2.0,0.0,0.0,4.0,13.0,2.06,,46,IT1
2019-20,Inter Milan,-,https://www.transfermarkt.co.uk/matteo-politano/leistungsdatendetails/spieler/165895,165895,Matteo Politano,Right Winger,25.0,23.0,15.0,0.0,0.0,1.0,0.0,0.0,13.0,2.0,1.67,,46,IT1
2019-20,Inter Milan,30,https://www.transfermarkt.co.uk/sebastiano-esposito/leistungsdatendetails/spieler/538918,538918,Sebastiano Esposito,Second Striker,16.0,46.0,14.0,1.0,0.0,2.0,0.0,0.0,12.0,1.0,2.43,,46,IT1
2019-20,Inter Milan,7,https://www.transfermarkt.co.uk/alexis-sanchez/leistungsdatendetails/spieler/40433,40433,Alexis Sánchez,Centre-Forward,30.0,38.0,32.0,4.0,10.0,3.0,1.0,0.0,17.0,8.0,2.0,,46,IT1
2019-20,Inter Milan,11,https://www.transfermarkt.co.uk/victor-moses/leistungsdatendetails/spieler/59866,59866,Victor Moses,Right Winger,28.0,23.0,20.0,0.0,5.0,1.0,0.0,0.0,13.0,6.0,2.15,,46,IT1
2019-20,Inter Milan,40,https://www.transfermarkt.co.uk/matias-fonseca/leistungsdatendetails/spieler/538919,538919,Matías Fonseca,Centre-Forward,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46,IT1
2019-20,Inter Milan,39,https://www.transfermarkt.co.uk/edoardo-vergani/leistungsdatendetails/spieler/421780,421780,Edoardo Vergani,Centre-Forward,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46,IT1
2019-20,Inter Milan,87,https://www.transfermarkt.co.uk/antonio-candreva/leistungsdatendetails/spieler/25488,25488,Antonio Candreva,Right Winger,32.0,52.0,40.0,7.0,9.0,7.0,0.0,0.0,9.0,19.0,2.05,,46,IT1
2019-20,SSC Napoli,1,https://www.transfermarkt.co.uk/alex-meret/leistungsdatendetails/spieler/240414,240414,Alex Meret,Goalkeeper,22.0,49.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.62,,6195,IT1
2019-20,SSC Napoli,25,https://www.transfermarkt.co.uk/david-ospina/leistungsdatendetails/spieler/73396,73396,David Ospina,Goalkeeper,30.0,47.0,23.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.78,,6195,IT1
2019-20,SSC Napoli,-,https://www.transfermarkt.co.uk/hubert-idasiak/leistungsdatendetails/spieler/555557,555557,Hubert Idasiak,Goalkeeper,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6195,IT1
2019-20,SSC Napoli,-,https://www.transfermarkt.co.uk/antonio-pio-daniele/leistungsdatendetails/spieler/618502,618502,Antonio Pio Daniele,Goalkeeper,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6195,IT1
2019-20,SSC Napoli,27,https://www.transfermarkt.co.uk/orestis-karnezis/leistungsdatendetails/spieler/16408,16408,Orestis Karnezis,Goalkeeper,33.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6195,IT1
2019-20,SSC Napoli,22,https://www.transfermarkt.co.uk/giovanni-di-lorenzo/leistungsdatendetails/spieler/169880,169880,Giovanni Di Lorenzo,Right-Back,25.0,50.0,46.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,1.65,,6195,IT1
2019-20,SSC Napoli,26,https://www.transfermarkt.co.uk/kalidou-koulibaly/leistungsdatendetails/spieler/93128,93128,Kalidou Koulibaly,Centre-Back,28.0,37.0,34.0,0.0,0.0,9.0,0.0,1.0,1.0,2.0,1.53,,6195,IT1
2019-20,SSC Napoli,13,https://www.transfermarkt.co.uk/sebastiano-luperto/leistungsdatendetails/spieler/278531,278531,Sebastiano Luperto,Centre-Back,22.0,49.0,12.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,1.67,,6195,IT1
2019-20,SSC Napoli,23,https://www.transfermarkt.co.uk/elseid-hysaj/leistungsdatendetails/spieler/200056,200056,Elseid Hysaj,Right-Back,25.0,41.0,24.0,1.0,2.0,3.0,1.0,0.0,4.0,6.0,2.08,,6195,IT1
2019-20,SSC Napoli,6,https://www.transfermarkt.co.uk/mario-rui/leistungsdatendetails/spieler/87884,87884,Mário Rui,Left-Back,28.0,45.0,35.0,0.0,2.0,12.0,0.0,0.0,2.0,7.0,1.71,,6195,IT1
2019-20,SSC Napoli,31,https://www.transfermarkt.co.uk/faouzi-ghoulam/leistungsdatendetails/spieler/126656,126656,Faouzi Ghoulam,Left-Back,28.0,27.0,9.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,2.11,,6195,IT1
2019-20,SSC Napoli,-,https://www.transfermarkt.co.uk/lorenzo-tonelli/leistungsdatendetails/spieler/111347,111347,Lorenzo Tonelli,Centre-Back,29.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6195,IT1
2019-20,SSC Napoli,2,https://www.transfermarkt.co.uk/kevin-malcuit/leistungsdatendetails/spieler/126711,126711,Kévin Malcuit,Right-Back,27.0,15.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.83,,6195,IT1
2019-20,SSC Napoli,19,https://www.transfermarkt.co.uk/nikola-maksimovic/leistungsdatendetails/spieler/124715,124715,Nikola Maksimović,Centre-Back,27.0,39.0,28.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,1.71,,6195,IT1
2019-20,SSC Napoli,44,https://www.transfermarkt.co.uk/konstantinos-manolas/leistungsdatendetails/spieler/104752,104752,Konstantinos Manolas,Centre-Back,28.0,43.0,35.0,4.0,0.0,3.0,0.0,0.0,1.0,3.0,1.89,,6195,IT1
2019-20,SSC Napoli,8,https://www.transfermarkt.co.uk/fabian-ruiz/leistungsdatendetails/spieler/350219,350219,Fabián Ruiz,Central Midfield,23.0,50.0,46.0,4.0,6.0,4.0,0.0,0.0,5.0,11.0,1.83,,6195,IT1
2019-20,SSC Napoli,68,https://www.transfermarkt.co.uk/stanislav-lobotka/leistungsdatendetails/spieler/192735,192735,Stanislav Lobotka,Defensive Midfield,24.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,2.13,,6195,IT1
2019-20,SSC Napoli,20,https://www.transfermarkt.co.uk/piotr-zielinski/leistungsdatendetails/spieler/181136,181136,Piotr Zieliński,Central Midfield,25.0,51.0,49.0,2.0,6.0,6.0,0.0,0.0,6.0,14.0,1.71,,6195,IT1
2019-20,SSC Napoli,0,https://www.transfermarkt.co.uk/gianluca-gaetano/leistungsdatendetails/spieler/358008,358008,Gianluca Gaetano,Attacking Midfield,19.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,6195,IT1
2019-20,SSC Napoli,5,https://www.transfermarkt.co.uk/allan/leistungsdatendetails/spieler/126422,126422,Allan,Defensive Midfield,28.0,39.0,33.0,2.0,1.0,4.0,0.0,0.0,12.0,9.0,1.73,,6195,IT1
2019-20,SSC Napoli,-,https://www.transfermarkt.co.uk/simone-verdi/leistungsdatendetails/spieler/130360,130360,Simone Verdi,Attacking Midfield,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6195,IT1
2019-20,SSC Napoli,4,https://www.transfermarkt.co.uk/diego-demme/leistungsdatendetails/spieler/82070,82070,Diego Demme,Defensive Midfield,27.0,25.0,22.0,1.0,0.0,6.0,0.0,0.0,6.0,9.0,1.82,,6195,IT1
2019-20,SSC Napoli,-,https://www.transfermarkt.co.uk/vlad-chiriches/leistungsdatendetails/spieler/123261,123261,Vlad Chiricheș,Defensive Midfield,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6195,IT1
2019-20,SSC Napoli,12,https://www.transfermarkt.co.uk/eljif-elmas/leistungsdatendetails/spieler/400489,400489,Eljif Elmas,Left Winger,19.0,50.0,36.0,1.0,1.0,7.0,0.0,0.0,20.0,10.0,2.06,,6195,IT1
2019-20,SSC Napoli,11,https://www.transfermarkt.co.uk/hirving-lozano/leistungsdatendetails/spieler/316889,316889,Hirving Lozano,Left Winger,23.0,47.0,34.0,5.0,2.0,4.0,0.0,0.0,18.0,14.0,1.26,,6195,IT1
2019-20,SSC Napoli,21,https://www.transfermarkt.co.uk/matteo-politano/leistungsdatendetails/spieler/165895,165895,Matteo Politano,Right Winger,25.0,22.0,20.0,2.0,2.0,1.0,0.0,0.0,10.0,9.0,1.85,,6195,IT1
2019-20,SSC Napoli,24,https://www.transfermarkt.co.uk/lorenzo-insigne/leistungsdatendetails/spieler/133964,133964,Lorenzo Insigne,Left Winger,28.0,49.0,46.0,13.0,8.0,2.0,0.0,0.0,4.0,20.0,1.67,,6195,IT1
2019-20,SSC Napoli,99,https://www.transfermarkt.co.uk/arkadiusz-milik/leistungsdatendetails/spieler/191891,191891,Arkadiusz Milik,Centre-Forward,25.0,41.0,35.0,14.0,0.0,6.0,0.0,0.0,13.0,13.0,1.69,,6195,IT1
2019-20,SSC Napoli,34,https://www.transfermarkt.co.uk/amin-younes/leistungsdatendetails/spieler/96167,96167,Amin Younes,Left Winger,25.0,34.0,11.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0,1.45,,6195,IT1
2019-20,SSC Napoli,-,https://www.transfermarkt.co.uk/leandrinho/leistungsdatendetails/spieler/351898,351898,Leandrinho,Left Winger,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6195,IT1
2019-20,SSC Napoli,7,https://www.transfermarkt.co.uk/jose-callejon/leistungsdatendetails/spieler/61253,61253,José Callejón,Right Winger,32.0,51.0,45.0,4.0,10.0,2.0,0.0,0.0,10.0,20.0,1.67,,6195,IT1
2019-20,SSC Napoli,9,https://www.transfermarkt.co.uk/fernando-llorente/leistungsdatendetails/spieler/35564,35564,Fernando Llorente,Centre-Forward,34.0,35.0,24.0,4.0,1.0,3.0,0.0,0.0,20.0,2.0,1.5,,6195,IT1
2019-20,SSC Napoli,14,https://www.transfermarkt.co.uk/dries-mertens/leistungsdatendetails/spieler/56416,56416,Dries Mertens,Second Striker,32.0,44.0,42.0,16.0,11.0,5.0,0.0,0.0,14.0,17.0,1.81,,6195,IT1
2019-20,AC Milan,99,https://www.transfermarkt.co.uk/gianluigi-donnarumma/leistungsdatendetails/spieler/315858,315858,Gianluigi Donnarumma,Goalkeeper,20.0,39.0,39.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.74,,5,IT1
2019-20,AC Milan,1,https://www.transfermarkt.co.uk/asmir-begovic/leistungsdatendetails/spieler/33873,33873,Asmir Begovic,Goalkeeper,32.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,,5,IT1
2019-20,AC Milan,90,https://www.transfermarkt.co.uk/antonio-donnarumma/leistungsdatendetails/spieler/88685,88685,Antonio Donnarumma,Goalkeeper,28.0,41.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,5,IT1
2019-20,AC Milan,-,https://www.transfermarkt.co.uk/matteo-soncin/leistungsdatendetails/spieler/401161,401161,Matteo Soncin,Goalkeeper,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,IT1
2019-20,AC Milan,-,https://www.transfermarkt.co.uk/pepe-reina/leistungsdatendetails/spieler/7825,7825,Pepe Reina,Goalkeeper,36.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,5,IT1
