Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,Red Bull Salzburg,23,https://www.transfermarkt.co.uk/philipp-kohn/leistungsdatendetails/spieler/251322,251322,Philipp Köhn,Goalkeeper,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,409,A1
2019-20,Red Bull Salzburg,31,https://www.transfermarkt.co.uk/carlos-coronel/leistungsdatendetails/spieler/378871,378871,Carlos Coronel,Goalkeeper,22.0,37.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.22,,409,A1
2019-20,Red Bull Salzburg,1,https://www.transfermarkt.co.uk/cican-stankovic/leistungsdatendetails/spieler/127679,127679,Cican Stankovic,Goalkeeper,26.0,39.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.11,,409,A1
2019-20,Red Bull Salzburg,33,https://www.transfermarkt.co.uk/alexander-walke/leistungsdatendetails/spieler/1271,1271,Alexander Walke,Goalkeeper,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,409,A1
2019-20,Red Bull Salzburg,43,https://www.transfermarkt.co.uk/rasmus-kristensen/leistungsdatendetails/spieler/369684,369684,Rasmus Kristensen,Right-Back,21.0,25.0,20.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,2.15,,409,A1
2019-20,Red Bull Salzburg,-,https://www.transfermarkt.co.uk/marin-pongracic/leistungsdatendetails/spieler/282144,282144,Marin Pongracic,Centre-Back,21.0,9.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.86,,409,A1
2019-20,Red Bull Salzburg,39,https://www.transfermarkt.co.uk/maximilian-wober/leistungsdatendetails/spieler/263361,263361,Maximilian Wöber,Centre-Back,21.0,35.0,34.0,0.0,2.0,4.0,0.0,0.0,3.0,5.0,2.15,,409,A1
2019-20,Red Bull Salzburg,-,https://www.transfermarkt.co.uk/gideon-mensah/leistungsdatendetails/spieler/397171,397171,Gideon Mensah,Left-Back,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,409,A1
2019-20,Red Bull Salzburg,15,https://www.transfermarkt.co.uk/andre-ramalho/leistungsdatendetails/spieler/175792,175792,André Ramalho,Centre-Back,27.0,42.0,35.0,6.0,1.0,10.0,0.0,0.0,0.0,4.0,2.4,,409,A1
2019-20,Red Bull Salzburg,-,https://www.transfermarkt.co.uk/jasper-van-der-werff/leistungsdatendetails/spieler/322519,322519,Jasper van der Werff,Centre-Back,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,409,A1
2019-20,Red Bull Salzburg,5,https://www.transfermarkt.co.uk/albert-vallci/leistungsdatendetails/spieler/261935,261935,Albert Vallci,Centre-Back,23.0,39.0,23.0,2.0,3.0,6.0,0.0,0.0,4.0,5.0,2.48,,409,A1
2019-20,Red Bull Salzburg,6,https://www.transfermarkt.co.uk/jerome-onguene/leistungsdatendetails/spieler/272638,272638,Jérôme Onguéné,Centre-Back,21.0,43.0,34.0,2.0,2.0,3.0,0.0,0.0,5.0,4.0,2.09,,409,A1
2019-20,Red Bull Salzburg,17,https://www.transfermarkt.co.uk/andreas-ulmer/leistungsdatendetails/spieler/31196,31196,Andreas Ulmer,Left-Back,33.0,42.0,42.0,4.0,10.0,0.0,0.0,0.0,2.0,8.0,2.19,,409,A1
2019-20,Red Bull Salzburg,25,https://www.transfermarkt.co.uk/patrick-farkas/leistungsdatendetails/spieler/81675,81675,Patrick Farkas,Right-Back,26.0,33.0,23.0,2.0,7.0,2.0,0.0,0.0,8.0,3.0,2.35,,409,A1
2019-20,Red Bull Salzburg,14,https://www.transfermarkt.co.uk/dominik-szoboszlai/leistungsdatendetails/spieler/451276,451276,Dominik Szoboszlai,Attacking Midfield,18.0,44.0,40.0,12.0,18.0,5.0,0.0,0.0,10.0,17.0,2.18,,409,A1
2019-20,Red Bull Salzburg,19,https://www.transfermarkt.co.uk/mohamed-camara/leistungsdatendetails/spieler/543382,543382,Mohamed Camara,Defensive Midfield,19.0,24.0,16.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,2.19,,409,A1
2019-20,Red Bull Salzburg,28,https://www.transfermarkt.co.uk/antoine-bernede/leistungsdatendetails/spieler/395512,395512,Antoine Bernede,Central Midfield,20.0,17.0,15.0,0.0,3.0,2.0,0.0,0.0,4.0,4.0,2.53,,409,A1
2019-20,Red Bull Salzburg,-,https://www.transfermarkt.co.uk/diadie-samassekou/leistungsdatendetails/spieler/315604,315604,Diadié Samassékou,Defensive Midfield,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,409,A1
2019-20,Red Bull Salzburg,4,https://www.transfermarkt.co.uk/majeed-ashimeru/leistungsdatendetails/spieler/360140,360140,Majeed Ashimeru,Central Midfield,21.0,38.0,29.0,3.0,3.0,4.0,0.0,1.0,11.0,7.0,2.03,,409,A1
2019-20,Red Bull Salzburg,44,https://www.transfermarkt.co.uk/youba-diarra/leistungsdatendetails/spieler/564451,564451,Youba Diarra,Central Midfield,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,409,A1
2019-20,Red Bull Salzburg,16,https://www.transfermarkt.co.uk/zlatko-junuzovic/leistungsdatendetails/spieler/31007,31007,Zlatko Junuzovic,Central Midfield,31.0,40.0,34.0,4.0,11.0,3.0,1.0,0.0,4.0,5.0,2.15,,409,A1
2019-20,Red Bull Salzburg,45,https://www.transfermarkt.co.uk/enock-mwepu/leistungsdatendetails/spieler/490307,490307,Enock Mwepu,Central Midfield,21.0,43.0,36.0,5.0,7.0,6.0,1.0,0.0,11.0,5.0,2.06,,409,A1
2019-20,Red Bull Salzburg,-,https://www.transfermarkt.co.uk/erling-haaland/leistungsdatendetails/spieler/418560,418560,Erling Haaland,Centre-Forward,18.0,22.0,22.0,28.0,7.0,3.0,0.0,0.0,6.0,9.0,2.23,,409,A1
2019-20,Red Bull Salzburg,27,https://www.transfermarkt.co.uk/karim-adeyemi/leistungsdatendetails/spieler/496094,496094,Karim Adeyemi,Right Winger,17.0,13.0,12.0,1.0,4.0,1.0,0.0,0.0,10.0,1.0,2.42,,409,A1
2019-20,Red Bull Salzburg,-,https://www.transfermarkt.co.uk/takumi-minamino/leistungsdatendetails/spieler/165793,165793,Takumi Minamino,Left Winger,24.0,24.0,22.0,9.0,11.0,2.0,0.0,0.0,3.0,11.0,2.14,,409,A1
2019-20,Red Bull Salzburg,77,https://www.transfermarkt.co.uk/noah-okafor/leistungsdatendetails/spieler/346890,346890,Noah Okafor,Left Winger,19.0,18.0,15.0,4.0,1.0,1.0,0.0,0.0,9.0,3.0,2.6,,409,A1
2019-20,Red Bull Salzburg,9,https://www.transfermarkt.co.uk/hee-chan-hwang/leistungsdatendetails/spieler/292246,292246,Hee-chan Hwang,Centre-Forward,23.0,41.0,40.0,16.0,22.0,3.0,0.0,0.0,12.0,13.0,2.2,,409,A1
2019-20,Red Bull Salzburg,20,https://www.transfermarkt.co.uk/patson-daka/leistungsdatendetails/spieler/365172,365172,Patson Daka,Centre-Forward,20.0,46.0,45.0,27.0,12.0,1.0,0.0,0.0,13.0,22.0,2.16,,409,A1
2019-20,Red Bull Salzburg,7,https://www.transfermarkt.co.uk/sekou-koita/leistungsdatendetails/spieler/402010,402010,Sékou Koïta,Centre-Forward,19.0,28.0,23.0,11.0,3.0,1.0,0.0,0.0,13.0,7.0,2.13,,409,A1
2019-20,Red Bull Salzburg,8,https://www.transfermarkt.co.uk/mergim-berisha/leistungsdatendetails/spieler/307924,307924,Mergim Berisha,Centre-Forward,21.0,14.0,10.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,1.8,,409,A1
2019-20,Red Bull Salzburg,37,https://www.transfermarkt.co.uk/masaya-okugawa/leistungsdatendetails/spieler/307052,307052,Masaya Okugawa,Left Winger,23.0,37.0,33.0,11.0,6.0,0.0,0.0,0.0,12.0,11.0,2.12,,409,A1
2019-20,Red Bull Salzburg,-,https://www.transfermarkt.co.uk/smail-prevljak/leistungsdatendetails/spieler/328264,328264,Smail Prevljak,Centre-Forward,24.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.2,,409,A1
2019-20,Rapid Vienna,-,https://www.transfermarkt.co.uk/niklas-hedl/leistungsdatendetails/spieler/404881,404881,Niklas Hedl,Goalkeeper,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,170,A1
2019-20,Rapid Vienna,25,https://www.transfermarkt.co.uk/paul-gartler/leistungsdatendetails/spieler/223957,223957,Paul Gartler,Goalkeeper,22.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50,,170,A1
2019-20,Rapid Vienna,1,https://www.transfermarkt.co.uk/richard-strebinger/leistungsdatendetails/spieler/93768,93768,Richard Strebinger,Goalkeeper,26.0,22.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.64,,170,A1
2019-20,Rapid Vienna,21,https://www.transfermarkt.co.uk/tobias-knoflach/leistungsdatendetails/spieler/181720,181720,Tobias Knoflach,Goalkeeper,25.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.83,,170,A1
2019-20,Rapid Vienna,-,https://www.transfermarkt.co.uk/mert-muldur/leistungsdatendetails/spieler/353922,353922,Mert Müldür,Right-Back,20.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.75,,170,A1
2019-20,Rapid Vienna,30,https://www.transfermarkt.co.uk/leo-greiml/leistungsdatendetails/spieler/434110,434110,Leo Greiml,Centre-Back,17.0,13.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.11,,170,A1
2019-20,Rapid Vienna,31,https://www.transfermarkt.co.uk/maximilian-ullmann/leistungsdatendetails/spieler/239934,239934,Maximilian Ullmann,Left-Back,23.0,32.0,32.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,1.78,,170,A1
2019-20,Rapid Vienna,4,https://www.transfermarkt.co.uk/mateo-barac/leistungsdatendetails/spieler/329629,329629,Mateo Barac,Centre-Back,24.0,23.0,20.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,1.95,,170,A1
2019-20,Rapid Vienna,20,https://www.transfermarkt.co.uk/maximilian-hofmann/leistungsdatendetails/spieler/131231,131231,Maximilian Hofmann,Centre-Back,25.0,29.0,20.0,2.0,0.0,6.0,0.0,0.0,2.0,3.0,1.65,,170,A1
2019-20,Rapid Vienna,22,https://www.transfermarkt.co.uk/filip-stojkovic/leistungsdatendetails/spieler/139751,139751,Filip Stojkovic,Right-Back,26.0,24.0,20.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0,1.70,,170,A1
2019-20,Rapid Vienna,-,https://www.transfermarkt.co.uk/manuel-martic/leistungsdatendetails/spieler/203645,203645,Manuel Martic,Centre-Back,23.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.00,,170,A1
2019-20,Rapid Vienna,47,https://www.transfermarkt.co.uk/dalibor-velimirovic/leistungsdatendetails/spieler/437891,437891,Dalibor Velimirovic,Centre-Back,18.0,16.0,7.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.00,,170,A1
2019-20,Rapid Vienna,-,https://www.transfermarkt.co.uk/paul-gobara/leistungsdatendetails/spieler/353915,353915,Paul Gobara,Centre-Back,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0,00",,170,A1
2019-20,Rapid Vienna,-,https://www.transfermarkt.co.uk/adrian-hajdari/leistungsdatendetails/spieler/388304,388304,Adrian Hajdari,Right-Back,19.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.50,,170,A1
2019-20,Rapid Vienna,6,https://www.transfermarkt.co.uk/mario-sonnleitner/leistungsdatendetails/spieler/18297,18297,Mario Sonnleitner,Centre-Back,32.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.00,,170,A1
2019-20,Rapid Vienna,13,https://www.transfermarkt.co.uk/thorsten-schick/leistungsdatendetails/spieler/55574,55574,Thorsten Schick,Right-Back,29.0,18.0,18.0,0.0,4.0,2.0,0.0,0.0,8.0,5.0,1.78,,170,A1
2019-20,Rapid Vienna,17,https://www.transfermarkt.co.uk/christopher-dibon/leistungsdatendetails/spieler/54607,54607,Christopher Dibon,Centre-Back,28.0,24.0,24.0,3.0,3.0,2.0,0.0,0.0,0.0,5.0,1.67,,170,A1
2019-20,Rapid Vienna,24,https://www.transfermarkt.co.uk/stephan-auer/leistungsdatendetails/spieler/82527,82527,Stephan Auer,Right-Back,28.0,29.0,17.0,0.0,0.0,2.0,0.0,0.0,9.0,2.0,1.35,,170,A1
2019-20,Rapid Vienna,39,https://www.transfermarkt.co.uk/dejan-ljubicic/leistungsdatendetails/spieler/287188,287188,Dejan Ljubicic,Defensive Midfield,21.0,24.0,23.0,2.0,1.0,7.0,0.0,0.0,1.0,3.0,1.61,,170,A1
2019-20,Rapid Vienna,16,https://www.transfermarkt.co.uk/dejan-petrovic/leistungsdatendetails/spieler/320859,320859,Dejan Petrovic,Central Midfield,21.0,14.0,14.0,0.0,3.0,3.0,0.0,0.0,5.0,1.0,1.86,,170,A1
2019-20,Rapid Vienna,40,https://www.transfermarkt.co.uk/melih-ibrahimoglu/leistungsdatendetails/spieler/391555,391555,Melih İbrahimoğlu,Central Midfield,18.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.00,,170,A1
2019-20,Rapid Vienna,10,https://www.transfermarkt.co.uk/thomas-murg/leistungsdatendetails/spieler/153190,153190,Thomas Murg,Attacking Midfield,24.0,22.0,21.0,5.0,9.0,2.0,0.0,0.0,5.0,11.0,1.86,,170,A1
2019-20,Rapid Vienna,8,https://www.transfermarkt.co.uk/stefan-schwab/leistungsdatendetails/spieler/79612,79612,Stefan Schwab,Central Midfield,28.0,32.0,32.0,9.0,10.0,7.0,1.0,0.0,0.0,4.0,1.72,,170,A1
2019-20,Rapid Vienna,14,https://www.transfermarkt.co.uk/srdjan-grahovac/leistungsdatendetails/spieler/123158,123158,Srdjan Grahovac,Defensive Midfield,26.0,21.0,20.0,0.0,0.0,4.0,0.0,0.0,6.0,5.0,2.10,,170,A1
2019-20,Rapid Vienna,42,https://www.transfermarkt.co.uk/lion-schuster/leistungsdatendetails/spieler/391560,391560,Lion Schuster,Defensive Midfield,18.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.50,,170,A1
2019-20,Rapid Vienna,28,https://www.transfermarkt.co.uk/christoph-knasmullner/leistungsdatendetails/spieler/59068,59068,Christoph Knasmüllner,Central Midfield,27.0,34.0,29.0,5.0,12.0,0.0,0.0,0.0,5.0,17.0,1.90,,170,A1
2019-20,Rapid Vienna,-,https://www.transfermarkt.co.uk/marvin-potzmann/leistungsdatendetails/spieler/106869,106869,Marvin Potzmann,Central Midfield,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,170,A1
2019-20,Rapid Vienna,7,https://www.transfermarkt.co.uk/philipp-schobesberger/leistungsdatendetails/spieler/190848,190848,Philipp Schobesberger,Right Midfield,25.0,13.0,13.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,2.00,,170,A1
2019-20,Rapid Vienna,18,https://www.transfermarkt.co.uk/tamas-szanto/leistungsdatendetails/spieler/235529,235529,Tamás Szántó,Attacking Midfield,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,170,A1
2019-20,Rapid Vienna,49,https://www.transfermarkt.co.uk/nicholas-wunsch/leistungsdatendetails/spieler/346851,346851,Nicholas Wunsch,Attacking Midfield,18.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.00,,170,A1
2019-20,Rapid Vienna,9,https://www.transfermarkt.co.uk/taxiarchis-fountas/leistungsdatendetails/spieler/192409,192409,Taxiarchis Fountas,Second Striker,23.0,29.0,29.0,20.0,7.0,5.0,0.0,0.0,4.0,16.0,1.86,,170,A1
2019-20,Rapid Vienna,48,https://www.transfermarkt.co.uk/yusuf-demir/leistungsdatendetails/spieler/548031,548031,Yusuf Demir,Right Winger,16.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,2.00,,170,A1
2019-20,Rapid Vienna,32,https://www.transfermarkt.co.uk/koya-kitagawa/leistungsdatendetails/spieler/290705,290705,Koya Kitagawa,Centre-Forward,22.0,21.0,20.0,3.0,1.0,1.0,0.0,0.0,13.0,7.0,1.90,,170,A1
2019-20,Rapid Vienna,29,https://www.transfermarkt.co.uk/ercan-kara/leistungsdatendetails/spieler/320701,320701,Ercan Kara,Centre-Forward,23.0,13.0,9.0,3.0,1.0,1.0,0.0,0.0,4.0,4.0,1.78,,170,A1
2019-20,Rapid Vienna,-,https://www.transfermarkt.co.uk/aliou-badji/leistungsdatendetails/spieler/479589,479589,Aliou Badji,Centre-Forward,21.0,19.0,16.0,3.0,1.0,2.0,0.0,0.0,7.0,6.0,1.75,,170,A1
2019-20,Rapid Vienna,-,https://www.transfermarkt.co.uk/dragoljub-savic/leistungsdatendetails/spieler/574656,574656,Dragoljub Savic,Right Winger,18.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0,00",,170,A1
2019-20,Rapid Vienna,-,https://www.transfermarkt.co.uk/marko-bozic/leistungsdatendetails/spieler/307427,307427,Marko Bozic,Left Winger,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,170,A1
2019-20,Rapid Vienna,36,https://www.transfermarkt.co.uk/kelvin-arase/leistungsdatendetails/spieler/321048,321048,Kelvin Arase,Left Winger,20.0,27.0,27.0,6.0,3.0,2.0,0.0,0.0,12.0,5.0,2.00,,170,A1
2019-20,Rapid Vienna,-,https://www.transfermarkt.co.uk/marco-fuchshofer/leistungsdatendetails/spieler/429144,429144,Marco Fuchshofer,Centre-Forward,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,170,A1
2019-20,LASK,24,https://www.transfermarkt.co.uk/tobias-lawal/leistungsdatendetails/spieler/393686,393686,Tobias Lawal,Goalkeeper,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,413,A1
2019-20,LASK,1,https://www.transfermarkt.co.uk/alexander-schlager/leistungsdatendetails/spieler/186374,186374,Alexander Schlager,Goalkeeper,23.0,50.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.92,,413,A1
2019-20,LASK,36,https://www.transfermarkt.co.uk/thomas-gebauer/leistungsdatendetails/spieler/12137,12137,Thomas Gebauer,Goalkeeper,37.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,413,A1
2019-20,LASK,18,https://www.transfermarkt.co.uk/gernot-trauner/leistungsdatendetails/spieler/59145,59145,Gernot Trauner,Centre-Back,27.0,45.0,45.0,6.0,5.0,11.0,1.0,0.0,0.0,3.0,1.93,,413,A1
2019-20,LASK,-,https://www.transfermarkt.co.uk/andres-andrade/leistungsdatendetails/spieler/403808,403808,Andrés Andrade,Centre-Back,20.0,11.0,11.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,1.0,,413,A1
2019-20,LASK,17,https://www.transfermarkt.co.uk/david-schnegg/leistungsdatendetails/spieler/378260,378260,David Schnegg,Left-Back,20.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,,413,A1
2019-20,LASK,6,https://www.transfermarkt.co.uk/philipp-wiesinger/leistungsdatendetails/spieler/159139,159139,Philipp Wiesinger,Centre-Back,25.0,45.0,44.0,2.0,1.0,12.0,1.0,0.0,1.0,5.0,1.89,,413,A1
2019-20,LASK,7,https://www.transfermarkt.co.uk/rene-renner/leistungsdatendetails/spieler/212333,212333,Rene Renner,Left-Back,25.0,45.0,42.0,0.0,3.0,6.0,0.0,0.0,8.0,9.0,1.81,,413,A1
2019-20,LASK,26,https://www.transfermarkt.co.uk/reinhold-ranftl/leistungsdatendetails/spieler/83119,83119,Reinhold Ranftl,Right-Back,27.0,49.0,47.0,7.0,11.0,8.0,0.0,1.0,0.0,3.0,1.89,,413,A1
2019-20,LASK,23,https://www.transfermarkt.co.uk/stefan-haudum/leistungsdatendetails/spieler/156681,156681,Stefan Haudum,Centre-Back,24.0,43.0,12.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0,2.17,,413,A1
2019-20,LASK,5,https://www.transfermarkt.co.uk/petar-filipovic/leistungsdatendetails/spieler/85922,85922,Petar Filipovic,Centre-Back,28.0,33.0,33.0,2.0,0.0,9.0,1.0,0.0,3.0,12.0,1.97,,413,A1
2019-20,LASK,-,https://www.transfermarkt.co.uk/emanuel-pogatetz/leistungsdatendetails/spieler/1094,1094,Emanuel Pogatetz,Centre-Back,36.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.33,,413,A1
2019-20,LASK,15,https://www.transfermarkt.co.uk/christian-ramsebner/leistungsdatendetails/spieler/37820,37820,Christian Ramsebner,Centre-Back,30.0,24.0,12.0,1.0,0.0,5.0,0.0,0.0,1.0,3.0,2.33,,413,A1
2019-20,LASK,21,https://www.transfermarkt.co.uk/markus-wostry/leistungsdatendetails/spieler/122792,122792,Markus Wostry,Centre-Back,26.0,26.0,13.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,2.23,,413,A1
2019-20,LASK,19,https://www.transfermarkt.co.uk/valentino-muller/leistungsdatendetails/spieler/307817,307817,Valentino Müller,Defensive Midfield,20.0,30.0,9.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.44,,413,A1
2019-20,LASK,8,https://www.transfermarkt.co.uk/peter-michorl/leistungsdatendetails/spieler/158106,158106,Peter Michorl,Central Midfield,24.0,48.0,48.0,7.0,20.0,10.0,0.0,0.0,1.0,4.0,1.94,,413,A1
2019-20,LASK,28,https://www.transfermarkt.co.uk/dominik-frieser/leistungsdatendetails/spieler/273553,273553,Dominik Frieser,Right Midfield,25.0,49.0,48.0,13.0,7.0,4.0,0.0,0.0,8.0,28.0,1.94,,413,A1
2019-20,LASK,-,https://www.transfermarkt.co.uk/nemanja-celic/leistungsdatendetails/spieler/353899,353899,Nemanja Celic,Defensive Midfield,20.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,413,A1
2019-20,LASK,-,https://www.transfermarkt.co.uk/daniel-jelisic/leistungsdatendetails/spieler/424735,424735,Daniel Jelisic,Defensive Midfield,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,413,A1
2019-20,LASK,16,https://www.transfermarkt.co.uk/marvin-potzmann/leistungsdatendetails/spieler/106869,106869,Marvin Potzmann,Central Midfield,25.0,28.0,26.0,1.0,6.0,4.0,0.0,0.0,9.0,4.0,2.35,,413,A1
2019-20,LASK,25,https://www.transfermarkt.co.uk/james-holland/leistungsdatendetails/spieler/43158,43158,James Holland,Defensive Midfield,30.0,49.0,48.0,3.0,15.0,11.0,0.0,0.0,2.0,8.0,1.92,,413,A1
2019-20,LASK,9,https://www.transfermarkt.co.uk/joao-klauss/leistungsdatendetails/spieler/498862,498862,João Klauss,Centre-Forward,22.0,49.0,45.0,20.0,4.0,2.0,0.0,0.0,20.0,16.0,1.91,,413,A1
2019-20,LASK,33,https://www.transfermarkt.co.uk/thomas-sabitzer/leistungsdatendetails/spieler/394032,394032,Thomas Sabitzer,Centre-Forward,18.0,29.0,14.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,2.21,,413,A1
2019-20,LASK,27,https://www.transfermarkt.co.uk/thomas-goiginger/leistungsdatendetails/spieler/189912,189912,Thomas Goiginger,Left Winger,26.0,35.0,35.0,9.0,7.0,2.0,0.0,1.0,5.0,19.0,2.31,,413,A1
2019-20,LASK,-,https://www.transfermarkt.co.uk/yusuf-otubanjo/leistungsdatendetails/spieler/131710,131710,Yusuf Otubanjo,Centre-Forward,26.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.17,,413,A1
2019-20,LASK,20,https://www.transfermarkt.co.uk/samuel-tetteh/leistungsdatendetails/spieler/358752,358752,Samuel Tetteh,Left Winger,22.0,47.0,42.0,7.0,7.0,2.0,0.0,0.0,22.0,15.0,1.95,,413,A1
2019-20,LASK,29,https://www.transfermarkt.co.uk/marko-raguz/leistungsdatendetails/spieler/307664,307664,Marko Raguz,Centre-Forward,21.0,50.0,46.0,14.0,4.0,2.0,0.0,0.0,20.0,17.0,1.87,,413,A1
2019-20,LASK,14,https://www.transfermarkt.co.uk/husein-balic/leistungsdatendetails/spieler/241803,241803,Husein Balic,Left Winger,23.0,16.0,16.0,4.0,3.0,2.0,0.0,0.0,7.0,7.0,1.44,,413,A1
2019-20,LASK,11,https://www.transfermarkt.co.uk/dominik-reiter/leistungsdatendetails/spieler/307667,307667,Dominik Reiter,Right Winger,21.0,20.0,14.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,1.43,,413,A1
2019-20,SK Sturm Graz,32,https://www.transfermarkt.co.uk/tobias-schutzenauer/leistungsdatendetails/spieler/243237,243237,Tobias Schützenauer,Goalkeeper,22.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,122,A1
2019-20,SK Sturm Graz,27,https://www.transfermarkt.co.uk/jorg-siebenhandl/leistungsdatendetails/spieler/59009,59009,Jörg Siebenhandl,Goalkeeper,29.0,38.0,38.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.24,,122,A1
2019-20,SK Sturm Graz,41,https://www.transfermarkt.co.uk/christopher-giuliani/leistungsdatendetails/spieler/307590,307590,Christopher Giuliani,Goalkeeper,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,122,A1
2019-20,SK Sturm Graz,35,https://www.transfermarkt.co.uk/niklas-geyrhofer/leistungsdatendetails/spieler/394008,394008,Niklas Geyrhofer,Centre-Back,19.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.00,,122,A1
2019-20,SK Sturm Graz,-,https://www.transfermarkt.co.uk/dario-maresic/leistungsdatendetails/spieler/307807,307807,Dario Maresic,Centre-Back,19.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.00,,122,A1
2019-20,SK Sturm Graz,36,https://www.transfermarkt.co.uk/vincent-trummer/leistungsdatendetails/spieler/365589,365589,Vincent Trummer,Left-Back,19.0,15.0,11.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,"0,00",,122,A1
2019-20,SK Sturm Graz,20,https://www.transfermarkt.co.uk/isaac-donkor/leistungsdatendetails/spieler/240197,240197,Isaac Donkor,Centre-Back,23.0,21.0,14.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.07,,122,A1
2019-20,SK Sturm Graz,23,https://www.transfermarkt.co.uk/lukas-spendlhofer/leistungsdatendetails/spieler/126114,126114,Lukas Spendlhofer,Centre-Back,26.0,31.0,30.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.47,,122,A1
2019-20,SK Sturm Graz,8,https://www.transfermarkt.co.uk/emanuel-sakic/leistungsdatendetails/spieler/75413,75413,Emanuel Sakic,Right-Back,28.0,35.0,34.0,0.0,2.0,8.0,0.0,0.0,2.0,2.0,1.29,,122,A1
